,2012,2013,2014,2015,2016,2017
0105039414,0,0,0,0,0,0
0245024263,0,2,0,8,0,0
0274090944,0,0,0,0,0,0
0274158582,0,7,0,0,0,0
0274180193,0,0,0,0,0,0
0274183613,0,0,0,0,0,0
0275031973,0,0,0,0,0,0
0277055994,0,0,0,0,0,1
0277105194,0,0,0,0,0,0
0277108396,3,6,1,6,0,0
0277134830,0,0,0,0,0,0
0278178780,0,3,0,0,0,0
0326011270,0,0,0,0,0,0
0411112670,0,0,0,0,0,0
0411143460,0,0,0,0,0,0
0561047452,0,0,0,0,0,0
0700000327,0,0,0,1,0,0
0705000017,0,0,5,0,6,0
0721001353,0,0,0,0,0,0
0721003512,0,0,0,0,0,0
0901014009,0,0,0,0,0,0
0909000840,0,0,0,0,0,0
1001045662,0,0,0,0,0,0
1001102254,0,0,0,0,0,0
1001257378,0,0,0,0,0,0
1001274990,0,0,0,0,0,0
1101068021,0,0,0,0,0,0
1101097015,0,0,0,0,0,0
1101131178,0,0,0,0,0,0
1101478733,0,0,0,0,0,0
1102068391,0,21,12,0,0,0
1102070305,0,0,0,0,0,0
1102070760,0,0,0,0,0,0
1106011460,0,0,0,0,2,3
1203000093,0,0,0,0,0,0
1215083425,0,0,0,0,0,0
1215164674,0,0,0,0,0,0
1310087067,0,0,0,0,0,0
1324124921,0,0,0,0,0,0
1326178496,0,0,1,2,2,1
1326185630,0,0,0,0,0,0
1326187846,1,3,2,5,1,0
1326197315,0,0,0,0,0,0
1434026980,9,18,4,16,19,7
1435019440,15,23,6,22,32,7
1435046193,24,18,8,9,9,1
1435093877,16,6,4,2,2,0
1435098917,12,5,1,0,0,0
1435118835,9,10,4,17,7,0
1435131829,0,0,0,0,0,0
1435234430,0,0,0,9,12,0
1435236645,5,0,0,0,0,0
1435253560,0,0,0,0,0,0
1502026068,0,0,0,0,0,0
1614006863,0,0,0,5,11,2
1639013171,20,12,10,18,17,3
1644031472,0,0,1,1,9,7
1644037241,0,0,0,4,9,2
1644046768,0,0,0,6,3,2
1646014874,0,1,0,15,10,0
1650121364,0,0,0,1,0,0
1655020761,0,0,0,0,1,0
1655057680,0,0,0,0,0,0
1655063821,0,0,0,0,0,0
1655217567,0,0,0,0,0,0
1657088726,0,0,0,0,0,0
1659114890,0,0,0,1,1,0
1660031350,0,0,0,0,1,0
1660056570,21,21,13,7,16,2
1660067701,1,2,19,4,7,2
1701052672,0,1,2,2,0,0
1821901832,0,0,0,2,0,0
1826000655,1,2,0,70,33,5
1831066404,0,1,1,1,2,0
1831077815,0,0,0,0,0,0
1831083343,26,21,16,27,25,3
1831084121,0,0,0,0,0,0
1831089218,1047,408,182,511,110,5
1831090830,0,0,0,0,3,0
1831108894,0,0,0,0,0,0
1831114859,19,7,12,5,8,2
1831117433,0,0,0,0,0,2
1831132463,0,0,0,0,0,0
1832051143,0,1,0,0,0,0
1832051217,0,0,0,0,0,0
1832053863,0,0,0,0,0,0
1832088168,0,0,0,0,0,0
1832089242,0,0,0,0,0,0
1832090230,31,20,15,15,26,6
1833001674,1,1,1,2,1,2
1833013253,6,4,0,8,11,0
1833018460,0,0,0,0,0,0
1833035225,0,0,0,1,0,0
1833044318,0,0,0,0,0,0
1833045576,0,0,0,0,2,1
1833049980,0,0,0,0,0,0
1833050713,0,0,0,0,0,0
1834035813,0,0,0,0,0,0
1834047583,0,0,0,11,0,9
1834053509,0,0,0,0,0,0
1835012826,2,4,0,12,12,5
1835027029,32,28,12,59,67,6
1835061894,0,0,0,0,0,0
1835071525,0,0,0,0,0,0
1835071564,0,0,3,4,0,0
1835086828,2,0,0,2,2,0
1840001629,0,0,0,1,5,1
1840005310,5,2,4,0,5,0
1840010599,0,0,0,0,0,0
1840011088,0,0,0,0,0,0
1840027634,0,0,0,3,0,0
1841007447,0,0,0,0,0,0
1841023456,0,0,0,0,0,0
1841025679,0,0,0,0,0,0
1841030911,0,0,0,1,0,0
1901029021,1,0,0,2,1,0
1901056191,0,0,0,0,0,0
1903014461,0,0,0,0,0,0
2015041780,23,35,16,2,4,0
2104007660,3,5,1,3,57,14
2119000026,3,4,0,13,0,2
2124012066,0,0,0,1,0,0
2126000147,3,4,4,2,0,0
2127007963,0,0,1,5,5,2
2127009135,2,1,0,82,51,20
2127307131,1,0,0,1,0,0
2127322517,0,0,0,0,0,0
2128023414,0,0,0,0,1,0
2129005369,0,1,0,1,4,0
2129011073,0,0,0,0,0,0
2130015763,0,0,0,0,0,0
2130059640,0,0,6,37,5,0
2130088313,0,0,0,0,0,0
2130119265,0,0,21,26,6,0
2209006093,3,0,0,0,0,0
2221128700,0,0,0,0,0,0
2221191981,0,0,0,0,0,0
2222008413,31,17,16,11,2,3
2222791050,0,0,0,0,0,0
2224001460,312,340,289,442,362,383
2224135248,0,0,0,1,0,0
2224138351,10,7,0,0,0,0
2224163012,0,0,0,0,0,0
2225021331,0,0,0,0,0,0
2225056528,0,0,0,0,0,0
2225059945,0,0,0,0,0,0
2225112290,0,0,0,0,0,0
2227000087,0,0,0,0,0,1
2235001430,0,0,0,5,5,2
2248004572,1,0,0,0,0,0
2254003626,1,0,0,0,0,0
2308085402,0,0,0,0,0,0
2308172207,0,0,0,0,0,0
2309066508,1,0,0,1,0,0
2309113740,0,0,0,0,0,0
2310031475,12,19,6,30,15,2
2370000496,0,0,0,2,1,0
2460056905,0,0,0,3,0,0
2466156938,0,0,0,0,0,0
2508001618,0,0,0,0,0,0
2508068130,0,0,4,0,0,0
2531001535,9,13,21,30,30,3
2536106323,0,0,1,2,2,1
2537037753,0,0,0,0,0,0
2537052590,0,1,0,0,0,0
2538074003,0,0,0,0,0,0
2540173731,0,0,0,0,0,0
2630031668,0,0,0,0,0,0
2632002528,19,19,9,6,0,0
2634002555,4,9,10,18,11,1
2634053119,0,0,1,0,1,0
2634066990,0,0,0,0,0,0
2635012972,6,4,5,7,4,0
2712000131,5,20,27,12,26,1
2712008892,3,0,0,0,0,0
2717005870,0,0,0,0,0,0
2720030404,0,0,0,0,0,0
2720033589,7,3,4,3,1,0
2721124165,0,0,0,0,0,0
2721153631,6,4,4,2,11,0
2723139294,0,0,0,0,0,0
2724183747,0,0,1,0,2,0
2725005264,2,5,5,2,4,0
2725024010,0,5,4,0,0,0
2801002973,249,194,97,128,150,32
2801070162,0,1,0,0,0,0
2801081020,4,8,3,33,37,3
2801084479,1,2,3,3,1,0
2801096562,0,0,0,0,0,0
2801106556,81,196,22,12,4,0
2801111154,0,0,0,0,0,0
2801151407,0,0,0,0,0,0
2801158321,0,0,0,0,0,0
2801158843,0,0,0,0,0,0
