,year,company,inn,money,region_id,region
0,2009,"Представительство компании ""РОСТЕН ХОЛДИНГ ИНК""",9909021283,0.445,99,"Иные территории, включая город и космодром Байконур"
1,2015,"ООО ""ГК Финанс""",9705035584,1.1,97,г. Москва
2,2015,"ЗАО ""Партнер""",8901007447,4.0,89,Ямало-Ненецкий автономный округ
3,2015,"ООО ""Северная строительная компания""",8908001772,2.0,89,Ямало-Ненецкий автономный округ
4,2015,"ООО ""Уренгойдорстрой""",8904073529,1.0,89,Ямало-Ненецкий автономный округ
5,2015,"ООО ""Ямалстройгрупп""",8901024178,1.0,89,Ямало-Ненецкий автономный округ
6,2014,"Ямало-Ненецкий региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8901013401,4.071368,89,Ямало-Ненецкий автономный округ
7,2014,"ООО ""НАДЫМСТРОЙМЕХАНИЗАЦИЯ""",8903030890,1.0,89,Ямало-Ненецкий автономный округ
8,2009,"Открытое акционерное общество ""Сибнефть-Ноябрьскнефтегаз""",8905000428,0.7,89,Ямало-Ненецкий автономный округ
9,2009,"Общество с ограниченной ответственностью ""Газпром добыча Ноябрьск""",8905026850,0.5,89,Ямало-Ненецкий автономный округ
10,2008,"Общество с ограниченной ответственностью ""Транссибстрой""",8904037104,10.0,89,Ямало-Ненецкий автономный округ
11,2008,"Общество с ограниченной ответственностью ""Нефтегазовая компания ""ИТЕРА""",8911018906,1.0,89,Ямало-Ненецкий автономный округ
12,2006,"Ямало - Ненецкий региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8901013401,8.0,89,Ямало-Ненецкий автономный округ
13,2012,"Чукотский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8709009390,22.217231,87,Чукотский автономный округ
14,2011,"Чукотский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8709009390,20.522895,87,Чукотский автономный округ
15,2010,"Чукотский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8709009390,32.53696,87,Чукотский автономный округ
16,2009,"Чукотский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8709009390,21.6041,87,Чукотский автономный округ
17,2008,"Чукотский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8709009390,8.0,87,Чукотский автономный округ
18,2006,"Чукотский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8709009390,8.96,87,Чукотский автономный округ
19,2006,"ООО ""Русал""-Управляющая компания",8709009488,1.5,87,Чукотский автономный округ
20,2015,"ООО ""ЛУКОЙЛ-Западная Сибирь""",8608048498,1.2275,86,Ханты-Мансийский автономный округ - Югра
21,2015,"ОАО ""Сургутстройтрест""",8602045765,0.6,86,Ханты-Мансийский автономный округ - Югра
22,2015,"ООО ""Квартал""",8601024787,0.5,86,Ханты-Мансийский автономный округ - Югра
23,2014,"Ханты-Мансийский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8601016225,6.83343,86,Ханты-Мансийский автономный округ - Югра
24,2013,"Ханты-Мансийский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8601016225,3.24462,86,Ханты-Мансийский автономный округ - Югра
25,2012,"Ханты-Мансийский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8601016225,1.976026,86,Ханты-Мансийский автономный округ - Югра
26,2011,"Ханты-Мансийский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8601016225,40.563666,86,Ханты-Мансийский автономный округ - Югра
27,2011,"Закрытое акционерное общество ""Строительная компания ВНСС""",8609002658,10.0,86,Ханты-Мансийский автономный округ - Югра
28,2011,"Закрытое акционерное общество ""Монтажное управление №5""",8610011897,2.0,86,Ханты-Мансийский автономный округ - Югра
29,2011,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИнвестОйл""",8602236022,1.5,86,Ханты-Мансийский автономный округ - Югра
30,2011,"Закрытое акционерное общество ""Экое""",8619008017,1.0,86,Ханты-Мансийский автономный округ - Югра
31,2010,"Ханты-Мансийский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8601016225,16.021775,86,Ханты-Мансийский автономный округ - Югра
32,2009,"Ханты-Мансийский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8601016225,13.014,86,Ханты-Мансийский автономный округ - Югра
33,2008,"Ханты-Мансийский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8601016225,5.36,86,Ханты-Мансийский автономный округ - Югра
34,2006,"Ханты-Мансийский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",861016225,6.0,86,Ханты-Мансийский автономный округ - Югра
35,2006,"Открытое акционерное общество ""Черногорэнерго""",8620001023,1.0,86,Ханты-Мансийский автономный округ - Югра
36,2006,"ОАО ""Экпаш""",8602061421,0.56,86,Ханты-Мансийский автономный округ - Югра
37,2015,"ООО ""Колхоз Ударник""",8203010961,5.0,82,Корякский автономный округ
38,2008,"Агинский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8001010165,10.0,80,Агинский Бурятский автономный округ
39,2006,"Агинский региональный общественный фонд поддержки Всероссийской политической партии ""Единая Россия""",8001010165,5.036,80,Агинский Бурятский автономный округ
40,2012,"Общество с ограниченной ответственностью ""Речной пункт пропуска ""Нижне-Ленинское""",7904504090,0.5,79,Еврейская автономная область
41,2011,"Общественный фонд ""Социальные инициативы"" в Еврейской автономной области",7901536047,1.7,79,Еврейская автономная область
42,2015,"ООО ""ГлавВоенСтрой""",7838004006,9.33,78,г. Санкт-Петербург
